query_name,query_scop_id,query_scop_lineage,query_scop_lineage_fixed,query_family,query_superfamily,query_fold,query_class
"d1uf2c1 a.115.1.3 (C:1-147,C:301-421) RDV p8 {Rice dwarf virus [TaxId: 10991]}",d1uf2c1,a.115.1.3,a.115.1.3,a.115.1.3,a.115.1,a.115,a
d1evsa_ a.26.1.1 (A:) Oncostatin M {Human (Homo sapiens) [TaxId: 9606]},d1evsa_,a.26.1.1,a.26.1.1,a.26.1.1,a.26.1,a.26,a
d1itha_ a.1.1.2 (A:) Hemoglobin {Innkeeper worm (Urechis caupo) [TaxId: 6431]},d1itha_,a.1.1.2,a.1.1.2,a.1.1.2,a.1.1,a.1,a
d1f7ca_ a.116.1.1 (A:) Graf {Chicken (Gallus gallus) [TaxId: 9031]},d1f7ca_,a.116.1.1,a.116.1.1,a.116.1.1,a.116.1,a.116,a
d3n0pa_ a.26.1.1 (A:) automated matches {Human (Homo sapiens) [TaxId: 9606]},d3n0pa_,a.26.1.1,a.26.1.1,a.26.1.1,a.26.1,a.26,a
d3g46a_ a.1.1.2 (A:) Hemoglobin I {Ark clam (Scapharca inaequivalvis) [TaxId: 6561]},d3g46a_,a.1.1.2,a.1.1.2,a.1.1.2,a.1.1,a.1,a
d1tx4a_ a.116.1.1 (A:) p50 RhoGAP domain {Human (Homo sapiens) [TaxId: 9606]},d1tx4a_,a.116.1.1,a.116.1.1,a.116.1.1,a.116.1,a.116,a
d1eera_ a.26.1.2 (A:) Erythropoietin {Human (Homo sapiens) [TaxId: 9606]},d1eera_,a.26.1.2,a.26.1.2,a.26.1.2,a.26.1,a.26,a
d1b0ba_ a.1.1.2 (A:) Hemoglobin I {Clam (Lucina pectinata) [TaxId: 244486]},d1b0ba_,a.1.1.2,a.1.1.2,a.1.1.2,a.1.1,a.1,a
d4i77z_ a.26.1.2 (Z:) Interleukin-13 (IL-13) {Human (Homo sapiens) [TaxId: 9606]},d4i77z_,a.26.1.2,a.26.1.2,a.26.1.2,a.26.1,a.26,a
d1pbwa_ a.116.1.1 (A:) p85 alpha subunit RhoGAP domain {Human (Homo sapiens) [TaxId: 9606]},d1pbwa_,a.116.1.1,a.116.1.1,a.116.1.1,a.116.1,a.116,a
"d3d1ka_ a.1.1.2 (A:) Hemoglobin, alpha-chain {Antarctic fish (Trematomus newnesi) [TaxId: 35730]}",d3d1ka_,a.1.1.2,a.1.1.2,a.1.1.2,a.1.1,a.1,a
d2z3qa1 a.26.1.2 (A:1-114) Interleukin-15 (IL-15) {Human (Homo sapiens) [TaxId: 9606]},d2z3qa1,a.26.1.2,a.26.1.2,a.26.1.2,a.26.1,a.26,a
"d1cg5a_ a.1.1.2 (A:) Hemoglobin, alpha-chain {Cartilaginous fish akaei (Dasyatis akajei) [TaxId: 31902]}",d1cg5a_,a.1.1.2,a.1.1.2,a.1.1.2,a.1.1,a.1,a
d1wera_ a.116.1.2 (A:) p120GAP domain {Human (Homo sapiens) [TaxId: 9606]},d1wera_,a.116.1.2,a.116.1.2,a.116.1.2,a.116.1,a.116,a
d3tgxb_ a.26.1.2 (B:) Interleukin-21 (IL-21) {Human (Homo sapiens) [TaxId: 9606]},d3tgxb_,a.26.1.2,a.26.1.2,a.26.1.2,a.26.1,a.26,a
"d3d1kb_ a.1.1.2 (B:) Hemoglobin, beta-chain {Antarctic fish (Trematomus newnesi) [TaxId: 35730]}",d3d1kb_,a.1.1.2,a.1.1.2,a.1.1.2,a.1.1,a.1,a
d1hula_ a.26.1.2 (A:) Interleukin-5 {Human (Homo sapiens) [TaxId: 9606]},d1hula_,a.26.1.2,a.26.1.2,a.26.1.2,a.26.1,a.26,a
d6v6fb_ a.116.1.2 (B:) automated matches {Human (Homo sapiens) [TaxId: 9606]},d6v6fb_,a.116.1.2,a.116.1.2,a.116.1.2,a.116.1,a.116,a
"d1cg5b_ a.1.1.2 (B:) Hemoglobin, beta-chain {Cartilaginous fish akaei (Dasyatis akajei) [TaxId: 31902]}",d1cg5b_,a.1.1.2,a.1.1.2,a.1.1.2,a.1.1,a.1,a
"d1scfa_ a.26.1.2 (A:) Stem cell factor, SCF {Human (Homo sapiens) [TaxId: 9606]}",d1scfa_,a.26.1.2,a.26.1.2,a.26.1.2,a.26.1,a.26,a
d5my3a1 a.116.1.0 (A:19-218) automated matches {Baker's yeast (Saccharomyces cerevisiae) [TaxId: 559292]},d5my3a1,a.116.1.0,a.116.1.0,a.116.1.0,a.116.1,a.116,a
"d1gcvb_ a.1.1.2 (B:) Hemoglobin, beta-chain {Houndshark (Mustelus griseus) [TaxId: 89020]}",d1gcvb_,a.1.1.2,a.1.1.2,a.1.1.2,a.1.1,a.1,a
d1v7mv_ a.26.1.2 (V:) Thrombopoietin {Human (Homo sapiens) [TaxId: 9606]},d1v7mv_,a.26.1.2,a.26.1.2,a.26.1.2,a.26.1,a.26,a
"d1hlba_ a.1.1.2 (A:) Hemoglobin, different isoforms {Caudina arenicola, also known as Molpadia arenicola [TaxId: 7698]}",d1hlba_,a.1.1.2,a.1.1.2,a.1.1.2,a.1.1,a.1,a
d2ovja1 a.116.1.0 (A:348-546) automated matches {Human (Homo sapiens) [TaxId: 9606]},d2ovja1,a.116.1.0,a.116.1.0,a.116.1.0,a.116.1,a.116,a
d2d48a_ a.26.1.2 (A:) automated matches {Human (Homo sapiens) [TaxId: 9606]},d2d48a_,a.26.1.2,a.26.1.2,a.26.1.2,a.26.1,a.26,a
d1tu9a1 a.1.1.2 (A:2-130) Hypothetical protein PA3967 {Pseudomonas aeruginosa [TaxId: 287]},d1tu9a1,a.1.1.2,a.1.1.2,a.1.1.2,a.1.1,a.1,a
d7nbia_ a.26.1.2 (A:) automated matches {Human (Homo sapiens) [TaxId: 9606]},d7nbia_,a.26.1.2,a.26.1.2,a.26.1.2,a.26.1,a.26,a
d3msxb_ a.116.1.0 (B:) automated matches {Human (Homo sapiens) [TaxId: 9606]},d3msxb_,a.116.1.0,a.116.1.0,a.116.1.0,a.116.1,a.116,a
d1mbaa_ a.1.1.2 (A:) Myoglobin {Slug sea hare (Aplysia limacina) [TaxId: 6502]},d1mbaa_,a.1.1.2,a.1.1.2,a.1.1.2,a.1.1,a.1,a
d4neja_ a.26.1.2 (A:) automated matches {Human (Homo sapiens) [TaxId: 9606]},d4neja_,a.26.1.2,a.26.1.2,a.26.1.2,a.26.1,a.26,a
d3iuga1 a.116.1.0 (A:367-568) automated matches {Human (Homo sapiens) [TaxId: 9606]},d3iuga1,a.116.1.0,a.116.1.0,a.116.1.0,a.116.1,a.116,a
d3uf2a_ a.26.1.2 (A:) automated matches {Human (Homo sapiens) [TaxId: 9606]},d3uf2a_,a.26.1.2,a.26.1.2,a.26.1.2,a.26.1,a.26,a
d1naza_ a.1.1.2 (A:) Myoglobin {Sperm whale (Physeter catodon) [TaxId: 9755]},d1naza_,a.1.1.2,a.1.1.2,a.1.1.2,a.1.1,a.1,a
d3qm9a_ a.1.1.2 (A:) automated matches {Thunnus atlanticus [TaxId: 48168]},d3qm9a_,a.1.1.2,a.1.1.2,a.1.1.2,a.1.1,a.1,a
d3byia1 a.116.1.0 (A:262-471) automated matches {Human (Homo sapiens) [TaxId: 9606]},d3byia1,a.116.1.0,a.116.1.0,a.116.1.0,a.116.1,a.116,a
d5uwci_ a.26.1.2 (I:) automated matches {Human (Homo sapiens) [TaxId: 9606]},d5uwci_,a.26.1.2,a.26.1.2,a.26.1.2,a.26.1,a.26,a
d1q1fa_ a.1.1.2 (A:) Neuroglobin {Mouse (Mus musculus) [TaxId: 10090]},d1q1fa_,a.1.1.2,a.1.1.2,a.1.1.2,a.1.1,a.1,a
d5d22a_ a.26.1.2 (A:) automated matches {Sheep (Ovis aries) [TaxId: 9940]},d5d22a_,a.26.1.2,a.26.1.2,a.26.1.2,a.26.1,a.26,a
d2osaa_ a.116.1.0 (A:) automated matches {Human (Homo sapiens) [TaxId: 9606]},d2osaa_,a.116.1.0,a.116.1.0,a.116.1.0,a.116.1,a.116,a
d1h97a_ a.1.1.2 (A:) Trematode hemoglobin/myoglobin {Paramphistomum epiclitum [TaxId: 54403]},d1h97a_,a.1.1.2,a.1.1.2,a.1.1.2,a.1.1,a.1,a
d3s9da_ a.26.1.3 (A:) Interferon-alpha 2a {Human (Homo sapiens) [TaxId: 9606]},d3s9da_,a.26.1.3,a.26.1.3,a.26.1.3,a.26.1,a.26,a
d5c5sa1 a.116.1.0 (A:110-318) automated matches {Human (Homo sapiens) [TaxId: 9606]},d5c5sa1,a.116.1.0,a.116.1.0,a.116.1.0,a.116.1,a.116,a
d1au1a_ a.26.1.3 (A:) Interferon-beta {Human (Homo sapiens) [TaxId: 9606]},d1au1a_,a.26.1.3,a.26.1.3,a.26.1.3,a.26.1,a.26,a
d3qqqa_ a.1.1.2 (A:) automated matches {Trema tomentosa [TaxId: 3480]},d3qqqa_,a.1.1.2,a.1.1.2,a.1.1.2,a.1.1,a.1,a
d5irca1 a.116.1.0 (A:1242-1439) automated matches {Norway rat (Rattus norvegicus) [TaxId: 10116]},d5irca1,a.116.1.0,a.116.1.0,a.116.1.0,a.116.1,a.116,a
d3besl_ a.26.1.3 (L:) Interferon-gamma {Human (Homo sapiens) [TaxId: 9606]},d3besl_,a.26.1.3,a.26.1.3,a.26.1.3,a.26.1,a.26,a
d3l0fa_ a.1.1.3 (A:) Phycocyanin alpha subunit {Thermosynechococcus elongatus [TaxId: 197221]},d3l0fa_,a.1.1.3,a.1.1.3,a.1.1.3,a.1.1,a.1,a
"d2ilka_ a.26.1.3 (A:) Interleukin-10 (cytokine synthesis inhibitory factor, CSIF) {Human (Homo sapiens) [TaxId: 9606]}",d2ilka_,a.26.1.3,a.26.1.3,a.26.1.3,a.26.1,a.26,a
d6v9mb1 a.117.1.1 (B:566-1046) Son of sevenless protein homolog 1 (sos-1) {Human (Homo sapiens) [TaxId: 9606]},d6v9mb1,a.117.1.1,a.117.1.1,a.117.1.1,a.117.1,a.117,a
d1b8da_ a.1.1.3 (A:) Phycoerythrin alpha subunit {Red alga (Griffithsia monilis) [TaxId: 42003]},d1b8da_,a.1.1.3,a.1.1.3,a.1.1.3,a.1.1,a.1,a
"d1lqsl_ a.26.1.3 (L:) Interleukin-10 (cytokine synthesis inhibitory factor, CSIF) {Human herpesvirus 5 [TaxId: 10359]}",d1lqsl_,a.26.1.3,a.26.1.3,a.26.1.3,a.26.1,a.26,a
d1xg0c_ a.1.1.3 (C:) Phycoerythrin beta subunit {Cryptophyte (Rhodomonas sp. CS24) [TaxId: 79257]},d1xg0c_,a.1.1.3,a.1.1.3,a.1.1.3,a.1.1,a.1,a
d4ev8a_ a.118.1.1 (A:) beta-Catenin {Mouse (Mus musculus) [TaxId: 10090]},d4ev8a_,a.118.1.1,a.118.1.1,a.118.1.1,a.118.1,a.118,a
d1n1fa_ a.26.1.3 (A:) Interleukin-19 {Human (Homo sapiens) [TaxId: 9606]},d1n1fa_,a.26.1.3,a.26.1.3,a.26.1.3,a.26.1,a.26,a
d4po5b_ a.1.1.3 (B:) automated matches {Synechocystis sp. [TaxId: 1111708]},d4po5b_,a.1.1.3,a.1.1.3,a.1.1.3,a.1.1,a.1,a
d3q1si_ a.26.1.3 (I:) Interleukin-22 (IL-22) {Human (Homo sapiens) [TaxId: 9606]},d3q1si_,a.26.1.3,a.26.1.3,a.26.1.3,a.26.1,a.26,a
d1kr7a_ a.1.1.4 (A:) Nerve tissue mini-hemoglobin (neural globin) {Milky ribbon worm (Cerebratulus lacteus) [TaxId: 6221]},d1kr7a_,a.1.1.4,a.1.1.4,a.1.1.4,a.1.1,a.1,a
d2l3ya_ a.26.1.0 (A:) automated matches {Mouse (Mus musculus) [TaxId: 10090]},d2l3ya_,a.26.1.0,a.26.1.0,a.26.1.0,a.26.1,a.26,a
d1wa5c_ a.118.1.1 (C:) Exportin Cse1p {Baker's yeast (Saccharomyces cerevisiae) [TaxId: 4932]},d1wa5c_,a.118.1.1,a.118.1.1,a.118.1.1,a.118.1,a.118,a
d2wy4a_ a.1.1.0 (A:) automated matches {Campylobacter jejuni [TaxId: 197]},d2wy4a_,a.1.1.0,a.1.1.0,a.1.1.0,a.1.1,a.1,a
d2l3oa_ a.26.1.0 (A:) automated matches {Mouse (Mus musculus) [TaxId: 10090]},d2l3oa_,a.26.1.0,a.26.1.0,a.26.1.0,a.26.1,a.26,a
d2ig3a_ a.1.1.0 (A:) automated matches {Campylobacter jejuni [TaxId: 197]},d2ig3a_,a.1.1.0,a.1.1.0,a.1.1.0,a.1.1,a.1,a
d3piwa_ a.26.1.0 (A:) automated matches {Zebrafish (Danio rerio) [TaxId: 7955]},d3piwa_,a.26.1.0,a.26.1.0,a.26.1.0,a.26.1,a.26,a
d3pt8a_ a.1.1.0 (A:) automated matches {Clam (Lucina pectinata) [TaxId: 244486]},d3pt8a_,a.1.1.0,a.1.1.0,a.1.1.0,a.1.1,a.1,a
d1qgra_ a.118.1.1 (A:) Importin beta {Human (Homo sapiens) [TaxId: 9606]},d1qgra_,a.118.1.1,a.118.1.1,a.118.1.1,a.118.1,a.118,a
d4xria_ a.118.1.0 (A:) automated matches {Chaetomium thermophilum [TaxId: 759272]},d4xria_,a.118.1.0,a.118.1.0,a.118.1.0,a.118.1,a.118,a
d1f7ua1 a.27.1.1 (A:484-607) Arginyl-tRNA synthetase (ArgRS) {Baker's yeast (Saccharomyces cerevisiae) [TaxId: 4932]},d1f7ua1,a.27.1.1,a.27.1.1,a.27.1.1,a.27.1,a.27,a
d2bk9a_ a.1.1.0 (A:) automated matches {Fruit fly (Drosophila melanogaster) [TaxId: 7227]},d2bk9a_,a.1.1.0,a.1.1.0,a.1.1.0,a.1.1,a.1,a
d1iq0a1 a.27.1.1 (A:467-592) Arginyl-tRNA synthetase (ArgRS) {Thermus thermophilus [TaxId: 274]},d1iq0a1,a.27.1.1,a.27.1.1,a.27.1.1,a.27.1,a.27,a
d2c0ka_ a.1.1.0 (A:) automated matches {Gasterophilus intestinalis [TaxId: 84525]},d2c0ka_,a.1.1.0,a.1.1.0,a.1.1.0,a.1.1,a.1,a
d3ea5b_ a.118.1.1 (B:) automated matches {Baker's yeast (Saccharomyces cerevisiae) [TaxId: 4932]},d3ea5b_,a.118.1.1,a.118.1.1,a.118.1.1,a.118.1,a.118,a
d1u0bb1 a.27.1.1 (B:316-461) Cysteinyl-tRNA synthetase (CysRS) {Escherichia coli [TaxId: 562]},d1u0bb1,a.27.1.1,a.27.1.1,a.27.1.1,a.27.1,a.27,a
d3tqoa2 a.27.1.0 (A:317-403) automated matches {Coxiella burnetii [TaxId: 777]},d3tqoa2,a.27.1.0,a.27.1.0,a.27.1.0,a.27.1,a.27,a
d6td7a_ a.1.1.0 (A:) automated matches {Green alga (Chlamydomonas reinhardtii) [TaxId: 3055]},d6td7a_,a.1.1.0,a.1.1.0,a.1.1.0,a.1.1,a.1,a
d6bmea_ a.1.1.0 (A:) automated matches {Green alga (Chlamydomonas reinhardtii) [TaxId: 3055]},d6bmea_,a.1.1.0,a.1.1.0,a.1.1.0,a.1.1,a.1,a
d1ffya1 a.27.1.1 (A:645-917) Isoleucyl-tRNA synthetase (IleRS) {Staphylococcus aureus [TaxId: 1280]},d1ffya1,a.27.1.1,a.27.1.1,a.27.1.1,a.27.1,a.27,a
d7cyla_ a.118.1.1 (A:) automated matches {Human (Homo sapiens) [TaxId: 9606]},d7cyla_,a.118.1.1,a.118.1.1,a.118.1.1,a.118.1,a.118,a
d3wctd_ a.1.1.0 (D:) automated matches {Lamellibrachia satsuma [TaxId: 104711]},d3wctd_,a.1.1.0,a.1.1.0,a.1.1.0,a.1.1,a.1,a
d1ilea1 a.27.1.1 (A:642-821) Isoleucyl-tRNA synthetase (IleRS) {Thermus thermophilus [TaxId: 274]},d1ilea1,a.27.1.1,a.27.1.1,a.27.1.1,a.27.1,a.27,a
d3ubca_ a.1.1.0 (A:) automated matches {Methylacidiphilum infernorum [TaxId: 481448]},d3ubca_,a.1.1.0,a.1.1.0,a.1.1.0,a.1.1,a.1,a
d1h3na1 a.27.1.1 (A:687-814) Leucyl-tRNA synthetase (LeuRS) {Thermus thermophilus [TaxId: 274]},d1h3na1,a.27.1.1,a.27.1.1,a.27.1.1,a.27.1,a.27,a
"d1b3ua_ a.118.1.2 (A:) Constant regulatory domain of protein phosphatase 2a, pr65alpha {Human (Homo sapiens) [TaxId: 9606]}",d1b3ua_,a.118.1.2,a.118.1.2,a.118.1.2,a.118.1,a.118,a
d3wfwa1 a.1.1.0 (A:1-133) automated matches {Methylacidiphilum infernorum [TaxId: 481448]},d3wfwa1,a.1.1.0,a.1.1.0,a.1.1.0,a.1.1,a.1,a
d1pfva1 a.27.1.1 (A:389-550) Methionyl-tRNA synthetase (MetRS) {Escherichia coli [TaxId: 562]},d1pfva1,a.27.1.1,a.27.1.1,a.27.1.1,a.27.1,a.27,a
d2wtga_ a.1.1.0 (A:) automated matches {Nematode (Caenorhabditis elegans) [TaxId: 6239]},d2wtga_,a.1.1.0,a.1.1.0,a.1.1.0,a.1.1,a.1,a
d1rqga1 a.27.1.1 (A:397-606) Methionyl-tRNA synthetase (MetRS) {Pyrococcus abyssi [TaxId: 29292]},d1rqga1,a.27.1.1,a.27.1.1,a.27.1.1,a.27.1,a.27,a
d4xxia_ a.1.1.0 (A:) automated matches {Nostoc sp. [TaxId: 103690]},d4xxia_,a.1.1.0,a.1.1.0,a.1.1.0,a.1.1,a.1,a
d1u6gc_ a.118.1.2 (C:) Cullin-associated NEDD8-dissociated protein 1 (Tip120) {Human (Homo sapiens) [TaxId: 9606]},d1u6gc_,a.118.1.2,a.118.1.2,a.118.1.2,a.118.1,a.118,a
d1ivsa2 a.27.1.1 (A:579-796) Valyl-tRNA synthetase (ValRS) {Thermus thermophilus [TaxId: 274]},d1ivsa2,a.27.1.1,a.27.1.1,a.27.1.1,a.27.1,a.27,a
d2zs0a_ a.1.1.0 (A:) automated matches {Oligobrachia mashikoi [TaxId: 55676]},d2zs0a_,a.1.1.0,a.1.1.0,a.1.1.0,a.1.1,a.1,a
d2ct8a2 a.27.1.0 (A:347-497) automated matches {Aquifex aeolicus [TaxId: 63363]},d2ct8a2,a.27.1.0,a.27.1.0,a.27.1.0,a.27.1,a.27,a
d2zs0b_ a.1.1.0 (B:) automated matches {Oligobrachia mashikoi [TaxId: 55676]},d2zs0b_,a.1.1.0,a.1.1.0,a.1.1.0,a.1.1,a.1,a
"d5o9zv_ a.118.1.2 (v:) Splicing factor 3B subunit 1, HEAT repeats {Human (Homo sapiens) [TaxId: 9606]}",d5o9zv_,a.118.1.2,a.118.1.2,a.118.1.2,a.118.1,a.118,a
d2zs0c_ a.1.1.0 (C:) automated matches {Oligobrachia mashikoi [TaxId: 55676]},d2zs0c_,a.1.1.0,a.1.1.0,a.1.1.0,a.1.1,a.1,a
d3kfla2 a.27.1.0 (A:575-736) automated matches {Leishmania major [TaxId: 5664]},d3kfla2,a.27.1.0,a.27.1.0,a.27.1.0,a.27.1,a.27,a
d2zs0d_ a.1.1.0 (D:) automated matches {Oligobrachia mashikoi [TaxId: 55676]},d2zs0d_,a.1.1.0,a.1.1.0,a.1.1.0,a.1.1,a.1,a
d1b89a_ a.118.1.3 (A:) Clathrin heavy chain proximal leg segment {Cow (Bos taurus) [TaxId: 9913]},d1b89a_,a.118.1.3,a.118.1.3,a.118.1.3,a.118.1,a.118,a
d5xgqa2 a.27.1.0 (A:352-513) automated matches {Mycobacterium tuberculosis [TaxId: 419947]},d5xgqa2,a.27.1.0,a.27.1.0,a.27.1.0,a.27.1,a.27,a
d3ozua1 a.1.1.0 (A:1-150) automated matches {Ralstonia eutropha [TaxId: 381666]},d3ozua1,a.1.1.0,a.1.1.0,a.1.1.0,a.1.1,a.1,a
d1bpoa1 a.118.1.4 (A:331-487) Clathrin heavy-chain linker domain {Norway rat (Rattus norvegicus) [TaxId: 10116]},d1bpoa1,a.118.1.4,a.118.1.4,a.118.1.4,a.118.1,a.118,a
